TYPE	FLUENT	DISFLUENT
1: Filler	त्यासाठी आम्ही सविस्तर चर्चा केल्या आणि योजनाही विचारात घेतल्या आहेत.	त्यासाठी गं आम्ही सविस्तर चर्चा केल्या आणि योजनाही विचारात घेतल्या आहेत.
1: Filler	असंच करता ना?	असंच रे करता ना?
1: Filler	ज्या प्रकल्पावर आमचे नितीन गडकरीजी काम करत आहेत आणि अगदी मनापासून करत आहेत.	ज्या प्रकल्पावर हं बुवा आमचे नितीन गडकरीजी काम करत आहेत आणि अगदी मनापासून करत आहेत.
1: Filler	आजही आपल्या देशासमोर, आपल्या समाजासमोर अनेक आव्हाने आहेत.	आजही आपल्या देशासमोर, अं आपल्या समाजासमोर अनेक आव्हाने आहेत.
1: Filler	या योजनेचा सर्वाधिक लाभ देशातील दलित, आदिवासी आणि मागासलेल्या वर्गाला मिळत आहे.	हं या योजनेचा सर्वाधिक लाभ देशातील दलित, आदिवासी बुवा आणि मागासलेल्या वर्गाला मिळत आहे.
1: Filler	त्याला नुतनीकरण हवे आहे.	बरं का त्याला नुतनीकरण हवे आहे.
1: Filler	पंतप्रधानांनी सांगितले की, वातावरणातील बदल हा केवळ राजनिती पुरताच मर्यादित नाही.	पंतप्रधानांनी सांगितले की, वातावरणातील बदल हा केवळ म्हणे राजनिती पुरताच मर्यादित नाही.
1: Filler	आपल्या देशातील युवकांनी खेळ हा जीवनाचा भाग म्हणून स्वीकारणे अतिशय गरजेचे आहे.	आपल्या देशातील युवकांनी खेळ हा जीवनाचा भाग म्हणून स्वीकारणे अतिशय गरजेचे आहे रे .
1: Filler	आता हा निधी देशामध्ये विकासाच्या कामांसाठी वापरला जात आहे.	आता हा निधी देशामध्ये विकासाच्या  कामांसाठी गं वापरला जात आहे.
1: Filler	लोण्यावर तर कोणीही रेघ उमटवू शकेल.	लोण्यावर तर रे कोणीही रेघ उमटवू शकेल.
1: Filler	आपण संपर्काचे लाभ जाणतो.	आपण संपर्काचे लाभ जाणतो गं.
1: Filler	त्यांनीही आपल्यासाठी एक मार्ग निश्चित करावा.	अं त्यांनीही आपल्यासाठी एक मार्ग निश्चित करावा.
1: Filler	आता परिस्थिती उलटी झाली आहे.	आता गं परिस्थिती उलटी झाली आहे.
1: Filler	त्यांना ध्वजवंदन, ध्वजारोहण करण्याची संधी मिळाली.	त्यांना ध्वजवंदन, ध्वजारोहण करण्याची संधी म्हणे मिळाली.
1: Filler	आम्ही ज्या दिशेने जात आहोत ही त्यातली काही उदाहरणे आहेत.	आम्ही ज्या दिशेने जात आहोत ही त्यातली म्हणे काही उदाहरणे आहेत.
1: Filler	त्यांना भेटणे, हा एक आनंददायी अनुभव असतो.	त्यांना भेटणे, हा रे एक आनंददायी अनुभव असतो.
1: Filler	म्हणून या निर्णयासाठी मला तुमचे मनापासून आभार मानायचे आहेत.	अं म्हणून या निर्णयासाठी मला तुमचे मनापासून आभार मानायचे आहेत.
1: Filler	जीएसटी आल्यानंतर सर्व तपासणी नाके बाद झाले.	जीएसटी आल्यानंतर सर्व तपासणी नाके बाद रे झाले.
1: Filler	त्यांचे आता सक्षमीकरण होत आहे आणि ते मुख्य प्रवाहात येत आहेत.	त्यांचे गं आता सक्षमीकरण होत आहे आणि ते मुख्य प्रवाहात येत आहेत.
1: Filler	आता तुम्ही सांगा, ही परिस्थिती किती दिवस आम्ही चालू देणार.	आं आता तुम्ही सांगा, ही परिस्थिती किती दिवस आम्ही चालू देणार.
1: Filler	जर आपण असे म्हटले की बाबा रे गरीबांसाठी तुमची गॅस सबसिडी सोडून द्या.	जर आपण असे म्हटले की बाबा रे गरीबांसाठी तुमची गॅस सबसिडी सोडून द्या  रे .
1: Filler	या क्षेत्रात परदेशी गुंतवणूकदारांचा सहभाग आर्थिक समावेशकतेला पुढे नेण्यात सहाय्यभूत ठरेल.	या क्षेत्रात परदेशी म्हणे गुंतवणूकदारांचा सहभाग आर्थिक समावेशकतेला पुढे नेण्यात सहाय्यभूत ठरेल.
1: Filler	संपूर्ण भारताच्या कानाकोपऱ्यातील प्रत्येकाची नजर तुमच्यावर होती.	संपूर्ण भारताच्या कानाकोपऱ्यातील प्रत्येकाची नजर म्हणे तुमच्यावर होती.
1: Filler	व्यवस्थेप्रमाणे जनता नाही तर जनतेप्रमाणेच व्यवस्था चालली पाहिजे.	म्हणजे व्यवस्थेप्रमाणे जनता नाही तर जनतेप्रमाणेच व्यवस्था चालली पाहिजे.
1: Filler	त्यांच्या या कार्यसंस्कृतीमुळे खूप मोठे नुकसान झाले आहे.	त्यांच्या या अं कार्यसंस्कृतीमुळे खूप मोठे नुकसान झाले आहे.
1: Filler	हॉकीनंतर बॅडमिंटनमध्येही चांगलं वृत्त आहे.	हॉकीनंतर म्हणे बॅडमिंटनमध्येही चांगलं वृत्त आहे.
1: Filler	तंत्रज्ञानासाठी आज कुठलाही अडसर नाही.	अं तंत्रज्ञानासाठी आज कुठलाही अडसर नाही.
1: Filler	त्यानंतर कॅलिफोर्नियातल्या सॅन होसेला पंतप्रधान भेट देतील.	त्यानंतर म्हणे कॅलिफोर्नियातल्या सॅन होसेला पंतप्रधान भेट देतील.
1: Filler	पंतप्रधान नरेंद्र मोदी यांनी आज रामचरितमानसच्या डिजिटल आवृत्तीचं प्रकाशन केले.	पंतप्रधान नरेंद्र मोदी यांनी आज म्हणे रामचरितमानसच्या डिजिटल आवृत्तीचं प्रकाशन केले.
1: Filler	मृतांच्या कुटुंबियांप्रति मी संवेदना व्यक्त करतो.	अं मृतांच्या कुटुंबियांप्रति मी संवेदना व्यक्त करतो.
1: Filler	मी अनेक कार्यक्रमांमध्ये भाग घेतला.	अं मी अनेक  कार्यक्रमांमध्ये भाग घेतला.
1: Filler	मला आनंद होत आहे, की प्रथमच लाभार्थ्यांच्या ज्या जमिनीवर घरे बांधण्यात आली त्याचा मालकी हक्क त्यांना देण्यात येत आहे.	आं मला आनंद होत आहे, की प्रथमच लाभार्थ्यांच्या ज्या जमिनीवर घरे बांधण्यात आली त्याचा मालकी हक्क त्यांना देण्यात येत आहे.
1: Filler	भारतानेसुद्धा अफगाणिस्तानच्या नागरिकांप्रती असलेल्या स्नेहभावनेच्या समर्थनार्थ लक्षणिय योगदान आणि बलीदान केले आहे.	अं भारतानेसुद्धा अफगाणिस्तानच्या नागरिकांप्रती असलेल्या स्नेहभावनेच्या समर्थनार्थ लक्षणिय योगदान आणि बलीदान केले आहे.
1: Filler	दुसरे म्हणजे, आपल्या बाजारांनी आपल्या समाजातील शेतकऱ्यांसारख्या सर्वात मोठ्या घटकाला लाभ पोहोचवले पाहिजेत.	दुसरे म्हणजे, आपल्या बाजारांनी आपल्या समाजातील म्हणे शेतकऱ्यांसारख्या सर्वात मोठ्या घटकाला लाभ पोहोचवले पाहिजेत.
1: Filler	त्यांनी निःस्वार्थीपणाने राष्ट्राची आणि समाजाची सेवा केली.	त्यांनी अं निःस्वार्थीपणाने राष्ट्राची आणि समाजाची सेवा केली.
1: Filler	तुमच्या पैकी बऱ्याचजणांसाठी गिगा वॅट शब्द नवा असेल.	तुमच्या पैकी आं बऱ्याचजणांसाठी गिगा वॅट शब्द नवा असेल.
1: Filler	दिव्यांगांविरोधातील गुन्ह्यासाठी आणि नवीन कायद्यातील तरतुदींच्या उल्लंघनासाठी कठोर दंडाची तरतूद यात आहे.	अं दिव्यांगांविरोधातील गुन्ह्यासाठी आणि नवीन कायद्यातील तरतुदींच्या उल्लंघनासाठी कठोर दंडाची तरतूद यात आहे.
1: Filler	या सत्राला आपण विद्यार्थ्यांचे, त्यांचे आईवडील आणि कुटुबांचे मित्र या नात्याने आलो असल्याचे पंतप्रधानांनी सुरुवातीला सांगितले.	या सत्राला आपण अं विद्यार्थ्यांचे, त्यांचे आईवडील आणि कुटुबांचे मित्र या नात्याने आलो असल्याचे पंतप्रधानांनी सुरुवातीला सांगितले.
1: Filler	बहुपक्षवाद आणि प्रांतीयवादावरील भारताच्या विश्वासाचा हा पाया आहे.	बहुपक्षवाद आणि आं प्रांतीयवादावरील भारताच्या विश्वासाचा हा पाया आहे.
1: Filler	अत्याधुनिक विज्ञान आणि तंत्रज्ञानाच्या क्षेत्रातील स्वदेशी संशोधनाला यामुळे खूप मोठ्या प्रमाणात चालना मिळेल.	अत्याधुनिक विज्ञान आणि आं तंत्रज्ञानाच्या क्षेत्रातील स्वदेशी संशोधनाला यामुळे खूप मोठ्या प्रमाणात चालना मिळेल.
1: Filler	यावेळी दोन्ही नेत्यांनी वेगवेगळ्या क्षेत्रातल्या विविध तंत्रज्ञानाच्या आणि नवकल्पनांच्या स्टॉल्सना भेटी दिल्या.	यावेळी दोन्ही नेत्यांनी वेगवेगळ्या क्षेत्रातल्या विविध तंत्रज्ञानाच्या आणि नवकल्पनांच्या स्टॉल्सना म्हणे भेटी दिल्या.
1: Filler	यावेळी बोलताना पंतप्रधानांनी पुस्तकाच्या माध्यमातून भावी पिढीसमोर आपले विचार मांडल्याबद्दल उपराष्ट्रपतींचे अभिनंदन केले.	अं यावेळी बोलताना पंतप्रधानांनी पुस्तकाच्या माध्यमातून भावी पिढीसमोर आपले विचार मांडल्याबद्दल उपराष्ट्रपतींचे अभिनंदन केले.
1: Filler	हाच तुमच्या आणि आमच्या कार्यसंस्कृतीतला फरक आहे.	हाच तुमच्या आणि आमच्या कार्यसंस्कृतीतला म्हणे फरक आहे.
1: Filler	यात प्रसारमाध्यमांचाही समावेश आहे असे पंतप्रधान म्हणाले.	यात म्हणे प्रसारमाध्यमांचाही समावेश आहे असे पंतप्रधान म्हणाले.
1: Filler	या कार्यक्रमाला सरकार किंवा राजकारणी नेत्यांपेक्षाही प्रसारमाध्यमांनी पुढे नेले आहे.	या कार्यक्रमाला आं  सरकार किंवा राजकारणी नेत्यांपेक्षाही प्रसारमाध्यमांनी पुढे नेले आहे.
1: Filler	हॅशटॅग इंनक्रेडिबलइंडिया यावर ही माहिती आपण देवू शकतो का?	अं हॅशटॅग इंनक्रेडिबलइंडिया यावर ही माहिती आपण देवू शकतो का?
1: Filler	तुमच्या कार्यक्षमतेमध्ये एकूणच वाढ होईल.	अं तुमच्या कार्यक्षमतेमध्ये एकूणच वाढ होईल.
1: Filler	स्वातंत्र्यानंतरच्या दशकांमध्ये देशाने खूप सहन केले.	अं स्वातंत्र्यानंतरच्या दशकांमध्ये देशाने खूप सहन केले.
1: Filler	मी याचवर्षी दिल्ली विद्यापीठामध्ये प्रथम वर्षाला प्रवेश घेतलाय.	आं मी याचवर्षी दिल्ली विद्यापीठामध्ये प्रथम वर्षाला प्रवेश घेतलाय.
1: Filler	भ्रष्टाचाराविरोधात समाजामध्ये असंतोषाचे वातावरण आहे.	अं भ्रष्टाचाराविरोधात समाजामध्ये असंतोषाचे वातावरण आहे.
1: Filler	तो सर्वसामान्यांच्या भल्यासाठी आणि इहलोकाच्या सेवेसाठी आहे.	अं तो सर्वसामान्यांच्या भल्यासाठी आणि इहलोकाच्या सेवेसाठी आहे.
1: Filler	हे मी लालकिल्ल्यावरून बोललो होतो आणि मला तसंच वाटतं.	हे मी अं लालकिल्ल्यावरून बोललो होतो आणि मला तसंच वाटतं.
1: Filler	मी विचार केला स्वातंत्र्याच्या ७० वर्षांनंतर हा प्रश्न विचारायलाच नको होता.	मी विचार केला म्हणे स्वातंत्र्याच्या ७० वर्षांनंतर हा प्रश्न विचारायलाच नको होता.
1: Filler	देशवासियांमध्ये काहीतरी करण्याची इच्छा जागृत होणे, देशाला पुढे घेऊन जाण्याची इच्छा निर्माण होणे, हे अत्यंत गरजेचे आहे.	अं देशवासियांमध्ये काहीतरी करण्याची इच्छा जागृत होणे, देशाला पुढे घेऊन जाण्याची इच्छा निर्माण होणे, हे अत्यंत गरजेचे आहे.
1: Filler	तुमच्यासारख्याच कुटुंबातून आलो आहोत.	अं तुमच्यासारख्याच कुटुंबातून आलो आहोत.
1: Filler	मग आम्ही त्या सर्व जिल्ह्यांच्या जिल्हाधिकाऱ्यासोबत बैठक घेतली, चर्चा केली.	मग आम्ही त्या सर्व जिल्ह्यांच्या अं जिल्हाधिकाऱ्यासोबत बैठक घेतली, चर्चा केली.
2: Word Repetition	हा कायदा अनुसूचित जाती आणि अनुसूचित जमातीमधील समुदायांच्या हितांना अधिक सुरक्षित ठेवणार आहे.	हा कायदा अनुसूचित जाती आणि अनुसूचित जमातीमधील समुदायांच्या हितांना अधिक अधिक सुरक्षित ठेवणार आहे.
2: Word Repetition	मी त्यांना म्हटले की आमच्याकडे फळशेती करणारे असंख्य शेतकरी आहेत.	मी त्यांना म्हटले म्हटले की आमच्याकडे फळशेती करणारे असंख्य शेतकरी आहेत.
2: Word Repetition	माझ्यासाठीही ही दिवाळी, यावेळी एक विशेष अनुभव घेऊन आली.	माझ्यासाठीही ही दिवाळी, यावेळी एक एक विशेष अनुभव घेऊन आली.
2: Word Repetition	मध्यम आणि लघु उद्योजकांना प्रोत्साहन देण्याच्या सरकारच्या प्रयत्नांना यामुळे बळ प्राप्त होणार आहे.	मध्यम आणि आणि लघु लघु उद्योजकांना प्रोत्साहन देण्याच्या सरकारच्या प्रयत्नांना यामुळे बळ प्राप्त होणार होणार आहे.
2: Word Repetition	इतरांच्या दृष्टीने ती अतिशय साधी, सामान्य गोष्ट असते.	इतरांच्या दृष्टीने ती अतिशय अतिशय साधी, सामान्य गोष्ट असते.
2: Word Repetition	लोकसहभागाची नेहमीच मदत होते.	लोकसहभागाची नेहमीच नेहमीच मदत होते.
2: Word Repetition	त्यांच्यासोबत स्वीडनचे पंतप्रधान, फिनलंडचे पंतप्रधान तसेच देशातील आणि परदेशातील अन्य वरिष्ठ मान्यवर असतील.	त्यांच्यासोबत स्वीडनचे पंतप्रधान, फिनलंडचे पंतप्रधान तसेच देशातील आणि आणि परदेशातील अन्य वरिष्ठ मान्यवर असतील.
2: Word Repetition	यासाठीच मी हे सांगतो की ही देशाची ती ताकद आहे, ज्याच्या आधारे देश पुढे जाणार आहे.	यासाठीच मी हे सांगतो की ही देशाची देशाची ती ताकद आहे, ज्याच्या आधारे देश पुढे जाणार आहे.
2: Word Repetition	काही हरकत नाही, इतकं झालं तरी बरंच आहे.	काही हरकत हरकत नाही, इतकं झालं तरी बरंच आहे.
2: Word Repetition	त्यांच्यासाठी जर आमच्या सैन्यातला जवान काठी घेऊन उभा राहिला तर चालेल का?	त्यांच्यासाठी त्यांच्यासाठी जर आमच्या सैन्यातला जवान काठी घेऊन उभा राहिला तर चालेल का?
2: Word Repetition	पूर्वी ते केवळ हात मिळवायचे आता हात धरून ठेवतात?	पूर्वी ते केवळ हात हात मिळवायचे आता हात धरून ठेवतात?
